hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban,subethnic_modal
0090144,3,3,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,1,0.3333333333333333,2288520.0,14.643416315350096,762840.0,13.544804900608478,2.0,14.0,5.0,0,Diaspora-Christian-Batak
0090200,11,6,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.1666666666666666,0.0,4,0.3636363636363636,2033695.0,14.525365385226795,184881.36363636365,12.127475029572096,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090241,7,2,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,3243293.333333333,14.9921001407558,463327.6190476191,13.046191841669634,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090251,3,2,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.5,0.0,0,0.0,1853656.6666666667,14.43267136224794,617885.5555555556,13.334060152527124,1.0,12.0,10.0,1,Diaspora-Christian-Batak
0090331,8,6,1,500000.0,0.0,0.0,4.0,1.0,False,True,False,0.1666666666666666,0.0,4,0.5,3407503.333333333,15.04149071425659,425937.9166666667,12.962051226864034,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090400,6,5,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,3,0.5,3313496.6666666665,15.01351488632024,552249.4444444444,13.221756926070531,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090500,8,8,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.125,0.0,6,0.75,1147085.0,13.952735371504794,143385.625,11.87329993222586,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090531,6,2,1,0.0,100000.0,11.51293546492023,4.0,1.0,False,True,False,0.5,11.51293546492023,0,0.0,1858820.0,14.435452973740505,309803.3333333333,12.64369619438591,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090541,5,2,1,0.0,7000000.0,15.76142084987672,4.0,1.0,False,True,False,0.5,15.76142084987672,0,0.0,2202777.6666666665,14.60523015167978,440555.5333333333,12.995794055132327,2.0,12.0,11.0,0,Diaspora-Christian-Batak
0090542,2,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2083533.3333333333,14.54957620839058,1041766.6666666667,13.856429507784211,1.0,12.0,10.0,1,Diaspora-Christian-Batak
0090551,2,0,0,0.0,0.0,0.0,4.0,1.0,False,True,False,,0.0,0,0.0,1242483.3333333333,14.03262342788617,621241.6666666666,13.339477052165025,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0090552,3,2,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2809553.333333333,14.848536428494333,936517.777777778,13.749924851682644,1.0,12.0,10.0,1,Diaspora-Christian-Batak
0090600,8,5,0,200000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,3,0.375,3193951.6666666665,14.976769788194144,399243.9583333333,12.897330438153652,2.0,14.0,5.0,0,Diaspora-Christian-Batak
0090641,6,2,0,1000000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,4041263.3333333335,15.212068154772888,673543.8888888889,13.420309922780632,2.0,14.0,5.0,0,Diaspora-Christian-Batak
0090743,3,2,1,300000.0,0.0,0.0,4.0,1.0,False,True,False,0.5,0.0,0,0.0,2618075.0,14.77795025482436,872691.6666666666,13.679338730075724,2.0,12.0,21.0,0,Diaspora-Muslim-Batak
0090751,3,1,1,0.0,0.0,0.0,4.0,1.0,False,True,False,1.0,0.0,0,0.0,7438750.0,15.822213516372376,2479583.333333333,14.723601496566571,1.0,32.0,75.0,1,Diaspora-Muslim-Batak
0090800,9,9,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.1111111111111111,0.0,7,0.7777777777777778,2989871.6666666665,14.910741358060935,332207.9629629629,12.713519456420368,2.0,12.0,5.0,0,Diaspora-Christian-Batak
0090842,4,3,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,1,0.25,4369883.333333333,15.290247098376703,1092470.8333333333,13.903953423773606,1.0,12.0,5.0,1,Diaspora-Christian-Batak
0090900,10,6,2,0.0,0.0,0.0,4.0,1.0,False,True,False,0.3333333333333333,0.0,4,0.4,4006493.3333333335,15.203427185830945,400649.3333333334,12.900844339187234,2.0,14.0,5.0,0,Diaspora-Christian-Batak
0091100,14,12,0,0.0,500000.0,13.122365377402328,4.0,1.0,False,True,False,0.0,13.122365377402328,10,0.7142857142857143,1979303.3333333333,14.498255994132622,141378.80952380953,11.859205232459994,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091151,1,1,0,250000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2034655.0,14.52583732080062,2034655.0,14.52583732080062,2.0,12.0,10.0,0,Diaspora-Muslim-Batak
0091200,12,5,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.2,0.0,3,0.25,1173526.6666666667,13.975524870191864,97793.88888888888,11.490627593807456,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091241,7,3,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,1,0.1428571428571428,3686288.3333333335,15.120130909338409,526612.619047619,13.1742223879348,1.0,12.0,18.0,1,Diaspora-Christian-Batak
0091251,5,3,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,1,0.2,4343065.0,15.284091108270012,868613.0,13.674654116843826,2.0,12.0,7.0,0,Diaspora-Christian-Batak
0091400,8,8,1,0.0,1000000.0,13.815511557963774,4.0,1.0,False,True,False,0.125,13.815511557963774,6,0.75,3195336.6666666665,14.977203326177062,399417.0833333333,12.89776397518662,2.0,12.0,10.0,0,Diaspora-Christian-Batak
