hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban,kmeans_cluster,ward_cluster
1872000,10,10,1,0.0,5000000.0,15.424948670398354,1.0,0.8,False,False,True,0.1,15.424948670398354,8,0.8,12908850.0,16.373423758087426,1290885.0,14.070839362289195,1.0,33.0,71.0,1,4,4
1872031,5,4,0,0.0,350000.0,12.765691290604371,1.0,1.0,False,False,True,0.0,12.765691290604371,2,0.4,6816946.666666667,15.73492237342924,1363389.3333333335,14.125485047767844,1.0,33.0,71.0,1,4,1
1874100,6,5,0,1000000.0,8000000.0,15.894952224644102,1.0,1.0,False,False,True,0.0,15.894952224644102,3,0.5,6554628.333333333,15.695682126416072,1092438.0555555555,13.903923420007368,1.0,31.0,72.0,1,4,4
1874121,16,7,0,500000.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,0.0,13.122365377402328,5,0.3125,6116190.0,15.626450075105264,382261.875,12.85386380536927,1.0,33.0,8.0,1,4,1
1874151,8,5,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,3,0.375,6498833.333333333,15.687133385450387,812354.1666666666,13.607692920886212,1.0,33.0,71.0,1,3,0
1880300,5,4,0,500000.0,100000.0,11.51293546492023,1.0,1.0,False,False,True,0.0,11.51293546492023,2,0.4,3067991.6666666665,14.936534051201326,613598.3333333333,13.327097442550455,1.0,33.0,72.0,1,4,1
1880351,2,1,1,0.0,0.0,0.0,1.0,1.0,False,False,True,1.0,0.0,0,0.0,1373270.0,14.132706043278002,686635.0,13.439559590906184,1.0,33.0,11.0,1,2,2
1880400,11,10,0,1000000.0,2600000.0,14.77102238760702,1.0,1.0,False,False,True,0.0,14.77102238760702,8,0.7272727272727273,374457.3333333333,12.833235816292564,34041.57575757575,10.43536724837852,1.0,33.0,72.0,1,4,4
1880442,2,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2461491.6666666665,14.716278498962737,1230745.8333333333,14.023131724660267,1.0,33.0,72.0,1,0,3
1880500,4,3,0,300000.0,700000.0,13.45883704259595,1.0,1.0,False,False,True,0.0,13.45883704259595,1,0.25,3456785.0,15.055849813603231,864196.25,13.669556320341142,1.0,33.0,72.0,1,1,1
1880600,15,12,0,1220000.0,1460000.0,14.19394767861579,1.0,1.0,False,False,True,0.0,14.19394767861579,10,0.6666666666666666,2709131.6666666665,14.812139092428716,180608.77777777775,12.104094059018736,1.0,33.0,72.0,1,4,4
1880641,1,1,0,0.0,300000.0,12.611541086966117,1.0,1.0,False,False,True,0.0,12.611541086966117,0,0.0,1242962.0,14.033008603356327,1242962.0,14.033008603356327,1.0,33.0,72.0,1,1,1
1880643,4,3,0,50000.0,100000.0,11.51293546492023,1.0,1.0,False,False,True,0.0,11.51293546492023,1,0.25,2393923.333333333,14.688444557805786,598480.8333333334,13.30215144985755,2.0,33.0,12.0,0,1,1
1880651,5,2,0,500000.0,1500000.0,14.220976332738882,1.0,1.0,False,False,True,0.0,14.220976332738882,0,0.0,3804223.3333333335,15.151622673919444,760844.6666666667,13.542185812947494,1.0,33.0,72.0,1,1,1
1880800,8,8,0,1950000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,6,0.75,3342451.6666666665,15.022215426800871,417806.4583333333,12.94277597938934,1.0,33.0,72.0,1,3,0
1880831,5,3,0,0.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,0.0,13.122365377402328,1,0.2,4290656.666666667,15.271950581407912,858131.3333333334,13.662513601231392,1.0,33.0,72.0,1,1,1
1880832,3,2,0,1000000.0,300000.0,12.611541086966117,1.0,1.0,False,False,True,0.0,12.611541086966117,0,0.0,2173394.333333333,14.591801172435185,724464.7777777779,13.493189803985798,1.0,33.0,72.0,1,1,1
1880851,3,1,0,100000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,868470.6666666666,13.674490240834274,289490.2222222222,12.575880255059596,1.0,33.0,72.0,1,0,3
1880852,1,1,1,0.0,0.0,0.0,1.0,1.0,False,False,True,1.0,0.0,0,0.0,2987000.0,14.909780431982256,2987000.0,14.909780431982256,1.0,33.0,72.0,1,2,2
1880900,6,5,0,2600000.0,3700000.0,15.123843647884687,1.0,1.0,False,False,True,0.0,15.123843647884687,3,0.5,5092728.333333333,15.443324459615182,848788.0555555555,13.651565972178464,1.0,33.0,72.0,1,4,4
1881000,5,3,0,500000.0,2000000.0,14.508658238524095,1.0,1.0,False,False,True,0.0,14.508658238524095,1,0.2,2384570.0,14.684529791911435,476914.0,13.075093556926506,1.0,33.0,72.0,1,1,1
1881041,2,1,0,1000000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,4352638.333333333,15.286292962365597,2176319.1666666665,14.593146011551283,1.0,33.0,11.0,1,0,3
1881042,3,1,0,1000000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2042491.6666666667,14.529681515338572,680830.5555555556,13.431070205865666,1.0,33.0,72.0,1,0,3
1881100,4,2,0,0.0,400000.0,12.899222326086994,1.0,1.0,False,False,True,0.0,12.899222326086994,0,0.0,728681.6666666666,13.498993616723435,182170.41666666663,12.112703372613543,1.0,33.0,72.0,1,1,1
1881200,9,6,0,800000.0,320000.0,12.676079399771028,1.0,1.0,False,False,True,0.0,12.676079399771028,4,0.4444444444444444,2555703.333333333,14.753838412253945,283967.0370370371,12.556616965165372,1.0,33.0,72.0,1,4,1
1881241,3,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2312951.6666666665,14.654035476960374,770983.8888888889,13.555424052987494,1.0,33.0,10.0,1,0,3
1881300,4,3,0,620000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.25,2347316.333333333,14.66878367376041,586829.0833333334,13.282490590694424,1.0,33.0,72.0,1,0,0
1881400,7,5,0,100000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,3,0.4285714285714285,1293690.0,14.073009931091194,184812.85714285716,12.12710441991779,1.0,33.0,72.0,1,3,0
1881441,1,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,1240420.5,14.030961799176564,1240420.5,14.030961799176564,1.0,33.0,72.0,1,0,3
1881500,6,6,0,500000.0,200000.0,12.206077645517674,1.0,1.0,False,False,True,0.0,12.206077645517674,4,0.6666666666666666,1914792.0,14.465120080759528,319132.0,12.673363222776382,1.0,33.0,72.0,1,4,4
