hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban
0272031,2,1,0,100000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,2402473.3333333335,14.692009736453528,1201236.6666666667,13.998862972131032,1.0,13.0,10.0,1
0272032,7,5,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,3,0.42857142857142855,1673963.3333333333,14.330705223552087,239137.61904761902,12.38479865879611,1.0,13.0,10.0,1
0272041,2,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3182793.3333333335,14.973270090080932,1591396.6666666667,14.280123223710262,1.0,13.0,10.0,1
0272300,8,5,0,2000000.0,500000.0,13.122365377402328,9.0,1.0,True,False,False,0.0,13.122365377402328,3,0.375,4933020.0,15.41146213725121,616627.5,13.332022014579124,1.0,13.0,10.0,1
0272400,11,7,0,500000.0,300000.0,12.611541086966115,9.0,1.0,True,False,False,0.0,12.611541086966115,5,0.45454545454545453,5081616.666666667,15.441140207184153,461965.15151515155,13.043246902261137,1.0,13.0,10.0,1
0272411,19,16,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,14,0.7368421052631579,428596.6666666667,12.96827391792529,22557.719298245614,10.023876935305806,1.0,13.0,10.0,1
0272451,4,3,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,1,0.25,1872013.3333333333,14.442525592685518,468003.3333333333,13.056232834116177,2.0,13.0,10.0,0
0272500,12,7,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,5,0.4166666666666667,1429526.6666666667,14.172854644643726,119127.22222222223,11.687955689675444,1.0,13.0,10.0,1
0272531,2,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,1378566.6666666667,14.1365555954133,689283.3333333334,13.443409140243672,2.0,13.0,10.0,0
0272532,5,3,1,0.0,0.0,0.0,9.0,1.0,True,False,False,0.3333333333333333,0.0,1,0.2,2554393.3333333335,14.753325701985844,510878.6666666667,13.143889355479454,1.0,13.0,10.0,1
0272541,5,2,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,,,,,1.0,13.0,10.0,1
0272600,16,12,0,1200000.0,200000.0,12.206077645517674,9.0,1.0,True,False,False,0.0,12.206077645517674,10,0.625,3290696.6666666665,15.006610156998292,205668.54166666666,12.234025993052018,1.0,13.0,10.0,1
0272632,5,2,1,2000000.0,0.0,0.0,9.0,1.0,True,False,False,0.5,0.0,0,0.0,6054260.0,15.616272879626576,1210852.0,14.00683562788396,1.0,13.0,10.0,1
0272641,3,1,0,2000000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,15590760.0,16.56218905318451,5196920.0,15.463576892797496,2.0,13.0,10.0,0
0272800,16,11,0,100000.0,1300000.0,14.077875591662238,9.0,1.0,True,False,False,0.0,14.077875591662238,9,0.5625,1845826.6666666665,14.428438334685278,115364.16666666666,11.655857738848262,1.0,13.0,10.0,1
