outcome_cluster,variable,coef,se,p_value,odds_ratio,sig
3,C(prov_cat)[T.13],0.6520671710854491,0.4140977136572578,0.11533267816442863,1.919504675191209,
3,C(prov_cat)[T.32],0.5462237393610482,0.2639759366222323,0.03852564155225557,1.7267201453965704,*
3,C(prov_cat)[T.33],0.570180568623395,0.22292468699307302,0.010535866289900754,1.7685863738099405,*
3,C(prov_cat)[T.34],1.2493474232862245,0.24800651621025296,4.7150658845872486e-07,3.488065983955461,***
3,C(prov_cat)[T.35],0.5329137536170385,0.22445786197352524,0.01758576981629146,1.7038897977213874,*
3,C(prov_cat)[T.Other],0.2969606925831924,0.22406771233861006,0.18506611531361583,1.345762399964854,
3,head_age,0.0803557545729039,0.004051780759856101,1.5699779881941582e-87,1.0836725205623,***
3,head_female,-0.3212016461201712,0.13072561398815163,0.01400763985201164,0.7252769869533804,*
3,head_edu_lvl,-0.0047659889914419655,0.0020589727832842283,0.02062710329440392,0.9952453503126062,*
3,urban,-0.008633967880747962,0.09976387310551986,0.9310339544437076,0.9914031977806446,
3,n_members,1.1220838451351909,0.03150797277403362,8.911382889348691e-278,3.0712475438668876,***
3,log_exp_pcm,0.09099917035438423,0.06950294732140196,0.19043780940699662,1.095268096573714,
