hhid14,pidlink,ar02b,ar07,ar09,ar15,ar15d,ar16,ar17,out_migrated,mg01c,kab_bps,prov_bps,urban_rural,amount_given,amount_received,log_amount_received,out_mig_bin,is_male,is_female,male_outmig,female_outmig,ethnic_label
0501900,050190006,7.0,3.0,70.0,1.0,1.0,2.0,3.0,1.0,3.0,7.0,16.0,1.0,600000.0,1900000.0,14.45736497045232,True,False,True,False,True,Batak
0511041,051104102,2.0,3.0,26.0,1.0,1.0,61.0,7.0,1.0,10.0,2.0,19.0,1.0,0.0,0.0,0.0,True,False,True,False,True,Java
0520500,052050001,7.0,1.0,51.0,1.0,1.0,5.0,7.0,0.0,,7.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0520500,052050004,2.0,3.0,27.0,1.0,1.0,5.0,2.0,0.0,,7.0,16.0,2.0,0.0,1000000.0,13.815511557963774,False,False,True,False,False,Java
0520500,052050010,1.0,1.0,32.0,1.0,1.0,6.0,7.0,0.0,,7.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0520541,052054102,2.0,3.0,42.0,1.0,1.0,3.0,7.0,1.0,71.0,7.0,16.0,2.0,0.0,0.0,0.0,True,False,True,False,True,Java
0520542,052054201,1.0,1.0,36.0,1.0,1.0,3.0,7.0,0.0,1.0,1.0,35.0,2.0,200000.0,50000.0,10.819798284210286,False,True,False,False,False,Java
0520731,052073102,3.0,1.0,19.0,1.0,1.0,6.0,7.0,0.0,4.0,4.0,18.0,2.0,200000.0,0.0,0.0,False,True,False,False,False,Java
0520731,052073103,3.0,3.0,17.0,1.0,1.0,6.0,2.0,0.0,4.0,4.0,18.0,2.0,0.0,4000.0,8.294299608857235,False,False,True,False,False,Java
0520731,052073104,1.0,3.0,39.0,1.0,1.0,3.0,7.0,0.0,,4.0,18.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0521351,052135103,1.0,1.0,36.0,1.0,25.0,2.0,4.0,0.0,12.0,12.0,16.0,2.0,0.0,300000.0,12.611541086966117,False,True,False,False,False,Java
0521931,052193103,1.0,1.0,43.0,1.0,1.0,61.0,7.0,0.0,,71.0,16.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0531231,053123101,1.0,1.0,47.0,1.0,1.0,5.0,7.0,0.0,,71.0,16.0,1.0,100000.0,100000.0,11.51293546492023,False,True,False,False,False,Java
0531541,053154101,1.0,1.0,33.0,1.0,1.0,2.0,98.0,0.0,,3.0,36.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0540300,054030001,1.0,1.0,57.0,2.0,4.0,5.0,0.0,1.0,5.0,71.0,19.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Batak
0540300,054030002,2.0,3.0,57.0,2.0,4.0,3.0,2.0,0.0,,71.0,19.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0540300,054030003,3.0,1.0,30.0,2.0,4.0,62.0,7.0,0.0,,71.0,19.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0540300,054030004,3.0,3.0,29.0,2.0,4.0,61.0,7.0,0.0,,71.0,19.0,1.0,500000.0,0.0,0.0,False,False,True,False,False,Batak
0540300,054030005,3.0,1.0,25.0,2.0,4.0,61.0,7.0,0.0,,1.0,62.0,2.0,2000000.0,0.0,0.0,False,True,False,False,False,Batak
0540351,054035102,2.0,3.0,29.0,2.0,4.0,60.0,7.0,1.0,9.0,71.0,19.0,2.0,0.0,0.0,0.0,True,False,True,False,True,Batak
0540352,054035201,1.0,1.0,32.0,2.0,4.0,61.0,7.0,0.0,71.0,71.0,19.0,1.0,0.0,300000.0,12.611541086966117,False,True,False,False,False,Batak
0540400,054040003,8.0,1.0,36.0,1.0,1.0,5.0,7.0,0.0,,71.0,19.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0540400,054040004,1.0,1.0,30.0,1.0,1.0,6.0,7.0,0.0,,71.0,19.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0540400,054040006,2.0,3.0,30.0,1.0,5.0,5.0,7.0,1.0,92.0,71.0,19.0,2.0,0.0,0.0,0.0,True,False,True,False,True,Java
0540400,054040007,9.0,1.0,18.0,1.0,5.0,5.0,2.0,1.0,3.0,71.0,19.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Java
0541552,054155204,2.0,3.0,36.0,1.0,1.0,62.0,7.0,1.0,9.0,71.0,19.0,1.0,500000.0,500000.0,13.122365377402328,True,False,True,False,True,Java
0541553,054155302,2.0,3.0,31.0,1.0,1.0,61.0,7.0,1.0,8.0,71.0,19.0,1.0,0.0,0.0,0.0,True,False,True,False,True,Java
0541700,054170001,1.0,1.0,66.0,1.0,1.0,5.0,7.0,0.0,,71.0,19.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0541700,054170005,3.0,3.0,34.0,1.0,1.0,61.0,7.0,0.0,,71.0,36.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0541700,054170007,10.0,3.0,15.0,1.0,1.0,5.0,0.0,1.0,6.0,71.0,19.0,1.0,0.0,400000.0,12.899222326086994,True,False,True,False,True,Java
0542000,054200001,1.0,1.0,51.0,1.0,7.0,3.0,2.0,0.0,,71.0,19.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0542000,054200003,2.0,3.0,30.0,1.0,1.0,3.0,7.0,0.0,,71.0,19.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0550200,055020004,1.0,3.0,53.0,1.0,1.0,1.0,96.0,0.0,,11.0,33.0,2.0,,,,False,False,True,False,False,Java
0560100,056010001,1.0,1.0,47.0,1.0,1.0,3.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560100,056010002,2.0,3.0,41.0,1.0,1.0,3.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560100,056010004,3.0,1.0,20.0,1.0,1.0,5.0,7.0,0.0,2.0,2.0,18.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560441,056044103,2.0,3.0,34.0,1.0,9.0,60.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Minang
0560442,056044201,1.0,1.0,32.0,1.0,1.0,5.0,7.0,0.0,,3.0,36.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560443,056044302,1.0,1.0,33.0,1.0,1.0,5.0,7.0,0.0,3.0,3.0,36.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560600,056060002,1.0,3.0,66.0,1.0,1.0,2.0,2.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560600,056060003,3.0,3.0,37.0,1.0,1.0,2.0,7.0,0.0,,2.0,63.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560600,056060004,3.0,3.0,34.0,1.0,1.0,3.0,0.0,0.0,,10.0,18.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560600,056060005,3.0,3.0,31.0,1.0,1.0,2.0,7.0,0.0,2.0,2.0,18.0,1.0,0.0,535000.0,13.190023895035274,False,False,True,False,False,Java
0560600,056060006,3.0,3.0,26.0,1.0,1.0,3.0,2.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560600,056060007,5.0,1.0,28.0,1.0,2.0,3.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560631,056063101,1.0,1.0,41.0,1.0,1.0,3.0,7.0,0.0,,10.0,18.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560631,056063103,3.0,3.0,15.0,1.0,1.0,3.0,1.0,1.0,2.0,10.0,18.0,2.0,0.0,2000.0,7.601402334583733,True,False,True,False,True,Java
0560641,056064101,1.0,1.0,41.0,1.0,1.0,6.0,7.0,0.0,,2.0,63.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560700,056070003,9.0,3.0,42.0,1.0,26.0,3.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560700,056070005,1.0,1.0,52.0,1.0,1.0,2.0,5.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560700,056070006,9.0,1.0,38.0,1.0,26.0,6.0,7.0,0.0,,2.0,18.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
