hhid14,ethnic_label,n_adults,n_outmig_adults,nelm_d1_deployment,n_adults_in_ind,n_outmig_in_ind,n_male_out,n_female_out,D1_male,D1_female,D1_total_computed
0041441,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0041451,Batak,0,0,,,,0.0,0.0,,,
0041500,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0041600,Batak,5,1,0.2,5.0,1.0,1.0,0.0,0.2,0.0,0.2
0041641,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0041700,Batak,5,1,0.2,5.0,1.0,0.0,1.0,0.0,0.2,0.2
0041800,Batak,3,1,0.3333333333333333,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0041941,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0042000,Batak,4,1,0.25,4.0,1.0,1.0,0.0,0.25,0.0,0.25
0042041,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0042200,Batak,7,2,0.2857142857142857,7.0,2.0,2.0,0.0,0.2857142857142857,0.0,0.2857142857142857
0042222,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0042242,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0042251,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0042300,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0042321,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0042400,Batak,10,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0042422,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0042531,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0042600,Batak,9,2,0.2222222222222222,9.0,2.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.2222222222222222
